# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 11.1 Build 259 01/25/2012 Service Pack 2 SJ Web Edition
# File: C:\Users\Laama\Documents\Project\B3\Audio.csv
# Generated on: Fri Mar 30 12:36:41 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Current Strength,Slew Rate
clock_50,Input,PIN_R8,3,B3_N0,3.3-V LVTTL,,
led[0],Output,PIN_A15,7,B7_N0,3.3-V LVTTL,,
led[1],Output,PIN_A13,7,B7_N0,3.3-V LVTTL,,
led[2],Output,PIN_B13,7,B7_N0,3.3-V LVTTL,,
led[3],Output,PIN_A11,7,B7_N0,3.3-V LVTTL,,
led[4],Output,PIN_D1,1,B1_N0,3.3-V LVTTL,,
led[5],Output,PIN_F3,1,B1_N0,3.3-V LVTTL,,
led[6],Output,PIN_B1,1,B1_N0,3.3-V LVTTL,,
led[7],Output,PIN_L3,2,B2_N0,3.3-V LVTTL,,
key[0],Input,PIN_J15,5,B5_N0,3.3-V LVTTL,,
key[1],Input,PIN_E1,1,B1_N0,3.3-V LVTTL,,
sw[0],Input,PIN_M1,2,B2_N0,3.3-V LVTTL,,
sw[1],Input,PIN_T8,3,B3_N0,3.3-V LVTTL,,
sw[2],Input,PIN_B9,7,B7_N0,3.3-V LVTTL,,
sw[3],Input,PIN_M15,5,B5_N0,3.3-V LVTTL,,
dram_addr[0],Output,PIN_P2,2,B2_N0,3.3-V LVTTL,,
dram_addr[1],Output,PIN_N5,3,B3_N0,3.3-V LVTTL,,
dram_addr[2],Output,PIN_N6,3,B3_N0,3.3-V LVTTL,,
dram_addr[3],Output,PIN_M8,3,B3_N0,3.3-V LVTTL,,
dram_addr[4],Output,PIN_P8,3,B3_N0,3.3-V LVTTL,,
dram_addr[5],Output,PIN_T7,3,B3_N0,3.3-V LVTTL,,
dram_addr[6],Output,PIN_N8,3,B3_N0,3.3-V LVTTL,,
dram_addr[7],Output,PIN_T6,3,B3_N0,3.3-V LVTTL,,
dram_addr[8],Output,PIN_R1,2,B2_N0,3.3-V LVTTL,,
dram_addr[9],Output,PIN_P1,2,B2_N0,3.3-V LVTTL,,
dram_addr[10],Output,PIN_N2,2,B2_N0,3.3-V LVTTL,,
dram_addr[11],Output,PIN_N1,2,B2_N0,3.3-V LVTTL,,
dram_addr[12],Output,PIN_L4,2,B2_N0,3.3-V LVTTL,,
dram_ba[0],Output,PIN_M7,3,B3_N0,3.3-V LVTTL,,
dram_ba[1],Output,PIN_M6,3,B3_N0,3.3-V LVTTL,,
dram_cke,Output,PIN_L7,3,B3_N0,3.3-V LVTTL,,
dram_clk,Output,PIN_R4,3,B3_N0,3.3-V LVTTL,,
dram_cs_n,Output,PIN_P6,3,B3_N0,3.3-V LVTTL,,
dram_dq[0],Bidir,PIN_G2,1,B1_N0,3.3-V LVTTL,,
dram_dq[1],Bidir,PIN_G1,1,B1_N0,3.3-V LVTTL,,
dram_dq[2],Bidir,PIN_L8,3,B3_N0,3.3-V LVTTL,,
dram_dq[3],Bidir,PIN_K5,2,B2_N0,3.3-V LVTTL,,
dram_dq[4],Bidir,PIN_K2,2,B2_N0,3.3-V LVTTL,,
dram_dq[5],Bidir,PIN_J2,2,B2_N0,3.3-V LVTTL,,
dram_dq[6],Bidir,PIN_J1,2,B2_N0,3.3-V LVTTL,,
dram_dq[7],Bidir,PIN_R7,3,B3_N0,3.3-V LVTTL,,
dram_dq[8],Bidir,PIN_T4,3,B3_N0,3.3-V LVTTL,,
dram_dq[9],Bidir,PIN_T2,3,B3_N0,3.3-V LVTTL,,
dram_dq[10],Bidir,PIN_T3,3,B3_N0,3.3-V LVTTL,,
dram_dq[11],Bidir,PIN_R3,3,B3_N0,3.3-V LVTTL,,
dram_dq[12],Bidir,PIN_R5,3,B3_N0,3.3-V LVTTL,,
dram_dq[13],Bidir,PIN_P3,3,B3_N0,3.3-V LVTTL,,
dram_dq[14],Bidir,PIN_N3,3,B3_N0,3.3-V LVTTL,,
dram_dq[15],Bidir,PIN_K1,2,B2_N0,3.3-V LVTTL,,
dram_dqm[0],Bidir,PIN_R6,3,B3_N0,3.3-V LVTTL,,
dram_dqm[1],Bidir,PIN_T5,3,B3_N0,3.3-V LVTTL,,
dram_cas_n,Output,PIN_L1,2,B2_N0,3.3-V LVTTL,,
dram_ras_n,Output,PIN_L2,2,B2_N0,3.3-V LVTTL,,
dram_we_n,Output,PIN_C2,1,B1_N0,3.3-V LVTTL,,
i2c_sclk,Unknown,PIN_F2,1,B1_N0,3.3-V LVTTL,,
i2c_sdat,Unknown,PIN_F1,1,B1_N0,3.3-V LVTTL,,
g_sensor_cs_n,Unknown,PIN_G5,1,B1_N0,3.3-V LVTTL,,
g_sensor_int,Unknown,PIN_M2,2,B2_N0,3.3-V LVTTL,,
